symbol,timeframe,model,csv_path,result_dir,command,rows,test_rows,prediction_windows,pred_len,pred_step,trade_count,coverage,win_rate,avg_win,avg_loss,win_loss_ratio,profit_factor,cumulative_return,max_drawdown,mean_trade_return,pred_direction_acc,threshold_bps,cost_bps,status
GBPUSD,M15,iTransformer,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_M15.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_M15_iTransformer_sl96_pl1_iTransformer_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_M15_iTransformer_sl96_pl1 --model iTransformer --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_M15.csv --features MS --target close --freq 15min --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 5 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,1270.0,0.5291666666666667,0.3299212598425197,0.0004356657532058173,0.0004765118246983936,0.9142810957137744,0.4501572022374518,-0.20007607661665527,0.20032903093796195,-0.0001755650489961382,0.510236220472441,3.0,2.0,ok
GBPUSD,M15,TimeMixer,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_M15.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_M15_TimeMixer_sl96_pl1_TimeMixer_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_M15_TimeMixer_sl96_pl1 --model TimeMixer --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_M15.csv --features MS --target close --freq 15min --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 5 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,,,,,,,,,,,,,,,,,,,"failed:Command '['D:\\python_workspace\\Quant\\.venv\\liangwen2\\Scripts\\python.exe', 'run.py', '--task_name', 'long_term_forecast', '--is_training', '1', '--model_id', 'GBPUSD_M15_TimeMixer_sl96_pl1', '--model', 'TimeMixer', '--data', 'custom', '--root_path', 'C:\\Users\\29083\\AppData\\Roaming\\MetaQuotes\\Terminal\\Common\\Files\\tslib', '--data_path', 'GBPUSD_M15.csv', '--features', 'MS', '--target', 'close', '--freq', '15min', '--seq_len', '96', '--label_len', '48', '--pred_len', '1', '--enc_in', '12', '--dec_in', '12', '--c_out', '12', '--d_model', '64', '--n_heads', '4', '--e_layers', '2', '--d_layers', '1', '--d_ff', '128', '--factor', '1', '--expand', '2', '--d_conv', '4', '--embed', 'timeF', '--train_epochs', '5', '--batch_size', '64', '--learning_rate', '0.0001', '--num_workers', '0', '--des', 'quant', '--itr', '1', '--inverse', '--gpu', '0', '--gpu_type', 'cuda']' returned non-zero exit status 1."
GBPUSD,M15,SegRNN,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_M15.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_M15_SegRNN_sl96_pl1_SegRNN_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_M15_SegRNN_sl96_pl1 --model SegRNN --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_M15.csv --features MS --target close --freq 15min --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 5 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,,,,,,,,,,,,,,,,,,,"failed:Command '['D:\\python_workspace\\Quant\\.venv\\liangwen2\\Scripts\\python.exe', 'run.py', '--task_name', 'long_term_forecast', '--is_training', '1', '--model_id', 'GBPUSD_M15_SegRNN_sl96_pl1', '--model', 'SegRNN', '--data', 'custom', '--root_path', 'C:\\Users\\29083\\AppData\\Roaming\\MetaQuotes\\Terminal\\Common\\Files\\tslib', '--data_path', 'GBPUSD_M15.csv', '--features', 'MS', '--target', 'close', '--freq', '15min', '--seq_len', '96', '--label_len', '48', '--pred_len', '1', '--enc_in', '12', '--dec_in', '12', '--c_out', '12', '--d_model', '64', '--n_heads', '4', '--e_layers', '2', '--d_layers', '1', '--d_ff', '128', '--factor', '1', '--expand', '2', '--d_conv', '4', '--embed', 'timeF', '--train_epochs', '5', '--batch_size', '64', '--learning_rate', '0.0001', '--num_workers', '0', '--des', 'quant', '--itr', '1', '--inverse', '--gpu', '0', '--gpu_type', 'cuda']' returned non-zero exit status 1."
GBPUSD,H1,iTransformer,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_H1_iTransformer_sl96_pl1_iTransformer_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_H1_iTransformer_sl96_pl1 --model iTransformer --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_H1.csv --features MS --target close --freq h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 5 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,1669.0,0.6954166666666667,0.3996405032953865,0.0005989845812286771,0.0007225714622723663,0.8289624106451295,0.551814299301698,-0.27766936877731796,0.2787838299068992,-0.00019442413991454968,0.5188735769922109,3.0,2.0,ok
GBPUSD,H1,TimeMixer,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_H1_TimeMixer_sl96_pl1_TimeMixer_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_H1_TimeMixer_sl96_pl1 --model TimeMixer --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_H1.csv --features MS --target close --freq h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 5 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,,,,,,,,,,,,,,,,,,,"failed:Command '['D:\\python_workspace\\Quant\\.venv\\liangwen2\\Scripts\\python.exe', 'run.py', '--task_name', 'long_term_forecast', '--is_training', '1', '--model_id', 'GBPUSD_H1_TimeMixer_sl96_pl1', '--model', 'TimeMixer', '--data', 'custom', '--root_path', 'C:\\Users\\29083\\AppData\\Roaming\\MetaQuotes\\Terminal\\Common\\Files\\tslib', '--data_path', 'GBPUSD_H1.csv', '--features', 'MS', '--target', 'close', '--freq', 'h', '--seq_len', '96', '--label_len', '48', '--pred_len', '1', '--enc_in', '12', '--dec_in', '12', '--c_out', '12', '--d_model', '64', '--n_heads', '4', '--e_layers', '2', '--d_layers', '1', '--d_ff', '128', '--factor', '1', '--expand', '2', '--d_conv', '4', '--embed', 'timeF', '--train_epochs', '5', '--batch_size', '64', '--learning_rate', '0.0001', '--num_workers', '0', '--des', 'quant', '--itr', '1', '--inverse', '--gpu', '0', '--gpu_type', 'cuda']' returned non-zero exit status 1."
GBPUSD,H1,SegRNN,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_H1_SegRNN_sl96_pl1_SegRNN_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_H1_SegRNN_sl96_pl1 --model SegRNN --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_H1.csv --features MS --target close --freq h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 5 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,,,,,,,,,,,,,,,,,,,"failed:Command '['D:\\python_workspace\\Quant\\.venv\\liangwen2\\Scripts\\python.exe', 'run.py', '--task_name', 'long_term_forecast', '--is_training', '1', '--model_id', 'GBPUSD_H1_SegRNN_sl96_pl1', '--model', 'SegRNN', '--data', 'custom', '--root_path', 'C:\\Users\\29083\\AppData\\Roaming\\MetaQuotes\\Terminal\\Common\\Files\\tslib', '--data_path', 'GBPUSD_H1.csv', '--features', 'MS', '--target', 'close', '--freq', 'h', '--seq_len', '96', '--label_len', '48', '--pred_len', '1', '--enc_in', '12', '--dec_in', '12', '--c_out', '12', '--d_model', '64', '--n_heads', '4', '--e_layers', '2', '--d_layers', '1', '--d_ff', '128', '--factor', '1', '--expand', '2', '--d_conv', '4', '--embed', 'timeF', '--train_epochs', '5', '--batch_size', '64', '--learning_rate', '0.0001', '--num_workers', '0', '--des', 'quant', '--itr', '1', '--inverse', '--gpu', '0', '--gpu_type', 'cuda']' returned non-zero exit status 1."
GBPUSD,H4,iTransformer,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_H4.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_H4_iTransformer_sl96_pl1_iTransformer_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_H4_iTransformer_sl96_pl1 --model iTransformer --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_H4.csv --features MS --target close --freq 4h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 5 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,2105.0,0.8770833333333333,0.460332541567696,0.0013275688858806988,0.001422479597526612,0.9332779803584229,0.7960795448655913,-0.2835575796852633,0.2983102155651497,-0.00015654278972533688,0.5173396674584323,3.0,2.0,ok
GBPUSD,H4,TimeMixer,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_H4.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_H4_TimeMixer_sl96_pl1_TimeMixer_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_H4_TimeMixer_sl96_pl1 --model TimeMixer --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_H4.csv --features MS --target close --freq 4h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 5 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,,,,,,,,,,,,,,,,,,,"failed:Command '['D:\\python_workspace\\Quant\\.venv\\liangwen2\\Scripts\\python.exe', 'run.py', '--task_name', 'long_term_forecast', '--is_training', '1', '--model_id', 'GBPUSD_H4_TimeMixer_sl96_pl1', '--model', 'TimeMixer', '--data', 'custom', '--root_path', 'C:\\Users\\29083\\AppData\\Roaming\\MetaQuotes\\Terminal\\Common\\Files\\tslib', '--data_path', 'GBPUSD_H4.csv', '--features', 'MS', '--target', 'close', '--freq', '4h', '--seq_len', '96', '--label_len', '48', '--pred_len', '1', '--enc_in', '12', '--dec_in', '12', '--c_out', '12', '--d_model', '64', '--n_heads', '4', '--e_layers', '2', '--d_layers', '1', '--d_ff', '128', '--factor', '1', '--expand', '2', '--d_conv', '4', '--embed', 'timeF', '--train_epochs', '5', '--batch_size', '64', '--learning_rate', '0.0001', '--num_workers', '0', '--des', 'quant', '--itr', '1', '--inverse', '--gpu', '0', '--gpu_type', 'cuda']' returned non-zero exit status 1."
GBPUSD,H4,SegRNN,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_H4.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_H4_SegRNN_sl96_pl1_SegRNN_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_H4_SegRNN_sl96_pl1 --model SegRNN --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_H4.csv --features MS --target close --freq 4h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 5 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,,,,,,,,,,,,,,,,,,,"failed:Command '['D:\\python_workspace\\Quant\\.venv\\liangwen2\\Scripts\\python.exe', 'run.py', '--task_name', 'long_term_forecast', '--is_training', '1', '--model_id', 'GBPUSD_H4_SegRNN_sl96_pl1', '--model', 'SegRNN', '--data', 'custom', '--root_path', 'C:\\Users\\29083\\AppData\\Roaming\\MetaQuotes\\Terminal\\Common\\Files\\tslib', '--data_path', 'GBPUSD_H4.csv', '--features', 'MS', '--target', 'close', '--freq', '4h', '--seq_len', '96', '--label_len', '48', '--pred_len', '1', '--enc_in', '12', '--dec_in', '12', '--c_out', '12', '--d_model', '64', '--n_heads', '4', '--e_layers', '2', '--d_layers', '1', '--d_ff', '128', '--factor', '1', '--expand', '2', '--d_conv', '4', '--embed', 'timeF', '--train_epochs', '5', '--batch_size', '64', '--learning_rate', '0.0001', '--num_workers', '0', '--des', 'quant', '--itr', '1', '--inverse', '--gpu', '0', '--gpu_type', 'cuda']' returned non-zero exit status 1."
EURUSD,M15,iTransformer,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_M15.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_M15_iTransformer_sl96_pl1_iTransformer_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id EURUSD_M15_iTransformer_sl96_pl1 --model iTransformer --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path EURUSD_M15.csv --features MS --target close --freq 15min --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 5 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,1139.0,0.47458333333333336,0.3169446883230904,0.00042192437959087523,0.00044303126730436726,0.9523580178845675,0.44190391318294203,-0.17517873578973464,0.17517873578973464,-0.00016888816938585757,0.5136084284460053,3.0,2.0,ok
