symbol,timeframe,model,threshold_bps,trade_count,coverage,win_rate,win_loss_ratio,profit_factor,cumulative_return,max_drawdown,mean_trade_return,pred_direction_acc
GBPUSD,M15,PatchTST,3.0,728,0.30333333333333334,0.3434065934065934,0.9428264072680547,0.493110045642288,-0.12008886220911086,0.12008886220911086,-0.0001754301564150024,0.5041208791208791
GBPUSD,M15,PatchTST,5.0,292,0.12166666666666667,0.4041095890410959,0.9650022096782699,0.6544267858737692,-0.03637363164843199,0.03687103184384477,-0.00012649017119479992,0.5273972602739726
GBPUSD,M15,PatchTST,8.0,88,0.03666666666666667,0.4659090909090909,0.7957297859392815,0.6941472600746923,-0.00988683688677483,0.013222669812068988,-0.00011257863082655338,0.5909090909090909
GBPUSD,M15,PatchTST,10.0,44,0.018333333333333333,0.45454545454545453,1.0238588233803538,0.8532156861502946,-0.0023646608846770167,0.00687354568176668,-5.350306970277361e-05,0.5454545454545454
GBPUSD,M15,PatchTST,12.0,28,0.011666666666666667,0.5714285714285714,1.2463535110704533,1.6618046814272711,0.004697192065803879,0.0018081571414649833,0.00016765554276071575,0.6785714285714286
GBPUSD,M15,PatchTST,15.0,8,0.0033333333333333335,0.625,1.1187731427860526,1.8646219046434211,0.001467205540666594,0.0010943373832142944,0.00018351194629933894,0.75
GBPUSD,M15,PatchTST,20.0,1,0.0004166666666666667,0.0,,0.0,-0.00018509715489334333,0.00018509715489334333,-0.0001850971548932906,1.0
GBPUSD,H1,PatchTST,3.0,1248,0.52,0.39503205128205127,0.8702925185843258,0.5682837240557254,-0.2148698155475921,0.21797142449725126,-0.0001933387585539463,0.5160256410256411
GBPUSD,H1,PatchTST,5.0,714,0.2975,0.42997198879551823,0.8252964820926548,0.6225209336669411,-0.11917853383920729,0.12612544626107758,-0.00017717728094241992,0.5294117647058824
GBPUSD,H1,PatchTST,8.0,291,0.12125,0.4639175257731959,0.8297083269158521,0.7180168213694874,-0.0404430880296619,0.04494775937047979,-0.0001411794505378466,0.5532646048109966
